Marathon Joensuu 2018
62.60687 29.86439 1540967012634.4102
62.606759 29.863599999999998 1540967014366.1196
62.606358 29.861729999999998 1540967016097.829
62.606148999999995 29.860917999999998 1540967017829.5386
62.605782 29.859472999999998 1540967019561.2478
62.605221 29.857243999999998 1540967021292.9573
62.604971 29.856243 1540967023024.6667
62.604378 29.853873999999998 1540967024756.376
62.604011 29.852351 1540967026488.0854
62.603635999999995 29.850856 1540967028219.795
62.603221 29.849259999999997 1540967029951.5044
62.602813999999995 29.84769 1540967031683.2136
62.6025 29.846556 1540967033414.923
62.602211 29.845412 1540967035146.6326
62.601569999999995 29.842931 1540967036878.3418
62.601146 29.841372999999997 1540967038610.0513
62.600668999999996 29.839489999999998 1540967040341.7607
62.600168 29.837449 1540967042073.47
62.599816999999994 29.836039999999997 1540967043805.1794
62.599692 29.835096 1540967045536.889
62.599697 29.832711 1540967047268.5984
62.599706 29.831027 1540967049000.3076
62.599740999999995 29.830088999999997 1540967050732.017
62.59983 29.82915 1540967052463.7266
62.599942999999996 29.828353999999997 1540967054195.4358
62.600092 29.827648999999997 1540967055927.1453
62.600327 29.826998999999997 1540967057658.8547
62.6008 29.826068 1540967059390.5642
62.601341999999995 29.825353 1540967061122.2734
62.601896999999994 29.824658 1540967062853.983
62.602357999999995 29.823787 1540967064585.6924
62.602725 29.822445 1540967066317.4016
62.602838 29.821686 1540967068049.111
62.602919 29.820748 1540967069780.8206
62.603041 29.81927 1540967071512.53
62.603058999999995 29.817639999999997 1540967073244.2393
62.603041999999995 29.816516999999997 1540967074975.9487
62.603015 29.814967 1540967076707.6582
62.602979 29.813063999999997 1540967078439.3674
62.60295 29.810785 1540967080171.077
62.602916 29.808408 1540967081902.7864
62.60292 29.807328 1540967083634.4956
62.602942999999996 29.806054 1540967085366.205
62.602968999999995 29.804268 1540967087097.9146
62.602889999999995 29.804064 1540967088829.624
62.602971 29.803852 1540967090561.3333
62.60301 29.801959999999998 1540967092293.0427
62.603018 29.801174999999997 1540967094024.7522
62.60295 29.799720999999998 1540967095756.4614
62.602843 29.798161999999998 1540967097488.171
62.602796 29.796763 1540967099219.8804
62.602813 29.795544 1540967100951.5898
62.602796 29.794546 1540967102683.299
62.602588 29.793526999999997 1540967104415.0085
62.602501999999994 29.793014 1540967106146.718
62.602187 29.791681999999998 1540967107878.4272
62.602117 29.791169999999997 1540967109610.1367
62.602042 29.790808 1540967111341.8462
62.601648999999995 29.789600999999998 1540967113073.5557
62.601518 29.788186999999997 1540967114805.265
62.601701999999996 29.783521 1540967116536.9744
62.6016 29.782148 1540967118268.6838
62.601675 29.780835999999997 1540967120000.393
62.601797999999995 29.779920999999998 1540967121732.1025
62.601893999999994 29.778941 1540967123463.812
62.601887 29.777898999999998 1540967125195.5215
