Marathon Joensuu 2018
62.603576 29.76804 1540964887750
62.604085999999995 29.768492 1540964905406.474
62.604603999999995 29.768952 1540964923062.9485
62.605408999999995 29.769710999999997 1540964940719.4226
62.605838999999996 29.770346999999997 1540964958375.897
62.606327 29.771538 1540964976032.371
62.606747 29.772285 1540964993688.8455
62.607150999999995 29.773262 1540965011345.3196
62.607471 29.774352 1540965029001.7937
62.608076 29.77472 1540965046658.268
62.608444999999996 29.775057999999998 1540965064314.7422
62.608774 29.775267 1540965081971.2166
62.609755 29.776004 1540965099627.6907
62.609801 29.776199 1540965117284.165
62.609904 29.776332999999997 1540965134940.6392
62.610074 29.776225 1540965152597.1133
62.610673999999996 29.776559 1540965170253.5876
62.611087 29.777261 1540965187910.0618
62.611494 29.778457999999997 1540965205566.5361
62.611748999999996 29.779666 1540965223223.0103
62.612573 29.783057999999997 1540965240879.4846
62.612885 29.784029999999998 1540965258535.9587
62.613316 29.785287 1540965276192.433
62.613688999999994 29.786389 1540965293848.9072
62.614248999999994 29.787924 1540965311505.3813
62.614754 29.788791 1540965329161.8557
62.615303 29.788954999999998 1540965346818.3298
62.616490999999996 29.788839999999997 1540965364474.8042
62.617534 29.788738 1540965382131.2783
62.617962 29.788823999999998 1540965399787.7527
62.619384 29.789334999999998 1540965417444.2268
62.620098999999996 29.789700999999997 1540965435100.701
62.620525 29.789901999999998 1540965452757.1753
62.620870999999994 29.790135 1540965470413.6494
62.621238 29.790429999999997 1540965488070.1238
62.622296 29.791528 1540965505726.598
62.622719 29.791933999999998 1540965523383.0723
62.623507999999994 29.792688 1540965541039.5464
62.624199999999995 29.793350999999998 1540965558696.0205
62.624801 29.794037 1540965576352.4949
62.626124999999995 29.79555 1540965594008.969
62.626877 29.796391999999997 1540965611665.4434
62.627562999999995 29.796972 1540965629321.9175
62.630880999999995 29.799296 1540965646978.3918
62.631423999999996 29.799650999999997 1540965664634.866
62.631823999999995 29.799912 1540965682291.34
62.633609 29.801129 1540965699947.8145
62.635090999999996 29.802101 1540965717604.2886
62.635656999999995 29.802598999999997 1540965735260.763
62.636118999999994 29.80316 1540965752917.237
62.637474999999995 29.805287999999997 1540965770573.7114
62.637885999999995 29.805933999999997 1540965788230.1855
62.638920999999996 29.807510999999998 1540965805886.66
62.639761 29.808491 1540965823543.134
62.640392999999996 29.809199 1540965841199.6082
